complessivo;padre;elemento;catagoria;desc_1;desc_2;desc_3;qty_db;qty;um;sfrido;lev;cod_cli_complessivo;cod_cli_padre;cod_cli_elemento;CFGLIN_0;STATISTICO 1;STATISTICO 2;11111111111111111;Non assegnata;Lunghezza1      DY1 (mm);Lunghezza2      DY2 (mm);Larghezza1       DX1 (mm);Larghezza2       DX2 (mm);Altezza1         DZ1 (mm);Altezza2         DZ2 (mm);Diametro           Ø (mm);Diametro max  Ø (mm);Diametro min   Ø (mm) ;Spessore1       THK1 (mm);Spessore2       THK2 (mm);Percentuale fori  FOR (%);Percentuale mandorle;Formato;Superficie (mq);Sezione
"M00001243";"M00001243";"M00001157";"CPL01";"ASSE P SUPP-ARTICOLAZ PORTELL";" ";" ";"1";"1";"PZ";0;1;"504299753";"504299753";"5801208723";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00001243";"M00001243";"M00002176";"SLL01";"sheet metal";" ";" ";"1";"1";"PZ";0;1;"504299753";"504299753";"504299749";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00001243";"M00001243";"SER0100925";"SER01";"Costo Verniciatura a polvere";" ";" ";"1";"1";"UN";0;1;"504299753";"504299753";" ";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00001243";"M00001243";"SER0100926";"SER01";"Costo DiBa Cataforesi";" ";" ";"1";"1";"UN";0;1;"504299753";"504299753";" ";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00001243";"M00002176";"M00000376";"MPL01";"lamiere in acciaio al carbonio";"lega S355MC";"spessore 60/10";"0,177";"0,177";"KG";30;2;"504299753";"504299749";"MM-LF09-0004";"LAMPI";"Acciaio al carbonio";"Lega S355MC";0;" ";3000;0;1500;0;0;0;0;0;0;6;0;0;0;" ";0;0
